epc,up,y1,v1,v2,theta,x
876,6,319,69.065186599328,90.1997782702374,0.0665681637758238,760
947,7,363,38.9486841883009,59.9082632030006,-0.253075652164602,244
930,5,173,144.585614775468,114.978258814438,0.228102628279943,974
1007,9,271,113.357840487546,105.304320899002,0.0760435592791171,861
661,5,389,35.3411940941446,41.2310562561766,-0.244978663126864,373
658,4,372,34.5398320783411,40.5215991787096,-0.274909841480673,375
877,7,244,126.003968191482,113.039815994189,0.0265424377513972,740
937,6,198,137.992753432925,107.935165724615,-0.409757927924383,271
1001,7,253,127.769323391806,109.89540481749,0.127740986121313,886
364,5,139,144.086779407411,110.64357188739,-0.172577961232207,684
168,3,248,130.552671362941,113.53413583588,0.0970393859819995,880
25,3,362,41.182520563948,55.659680200303,-0.310387407132351,466
763,8,393,39.6232255123179,37.8021163428716,-0.65408272441436,289
1006,8,276,121.807224744676,120.702112657567,0.107912488816677,883
1022,9,360,49.3963561409139,62.8171950981576,0.241117678451468,1111
13,3,351,41.0487515035476,64.007812023221,-0.0156237286204768,663
944,5,335,98.979795918157,128.413394939936,-0.341452438309451,208
893,8,277,132.242202038532,130.13838787998,0.0461211160145112,746
951,8,386,19,21.9317121994613,-0.422853926132941,343
929,5,231,190.339170955429,152.85614151875,-0.361067756582511,204
713,5,372,75.9275970909129,83.4865258589672,-0.329326167047838,348
64,1,284,123.794184031399,128.763348822559,-0.108941956989866,585
780,4,324,89.8053450525079,114.629839047257,0.104876938730234,782
642,3,277,123.032516027268,122.122888927506,-0.2906724809132,308
84,3,352,68,111.004504413109,0.00900876529041691,616
18,2,362,46.5295604965274,69.1809222257119,-0.072337330538595,543
40,2,286,112.378823627942,115.91807451817,-0.182168310472763,478
515,3,391,55.7584074378026,43.2781700167648,-0.703613782779452,166
959,9,373,41.3400532171888,44.7772263544762,-0.413689213278863,252
928,4,193,137.767920794356,91.6787870774914,0.242333166653015,969
1015,9,297,104.355162785557,113.758516164725,-0.257771142234296,208
970,6,270,147.091808065575,138.278704072608,0.181793988948042,983
235,6,375,58,77.2010362624751,-0.288975409992566,379
281,4,237,131.106826671993,110.887330205033,-0.126592127279972,567
842,5,274,141.693330824002,142.59382875847,0.0912948077503485,797
992,5,209,139.903538196859,110.022724925353,0.19204801724073,965
763,8,360,43.4165866921848,59.4810894318522,-0.28984648991162,353
840,4,294,116.348614087148,124.145076422708,-0.0483493866519029,675
535,5,292,96.6022774058666,97.6933979345585,-0.399515493999375,223
9,2,274,120.813906484312,119.707978013163,-0.108812204817245,501
678,5,322,116.503218839653,127.781062759706,-0.301951161830249,294
768,2,183,138.090550002526,110.072703246536,-0.0363476210190207,684
179,5,303,122.702893201424,138.65424623862,-0.195981133636115,434
401,4,168,164.477962049631,129.402472928457,-0.147361481088652,570
925,7,400,26.9072480941474,30.6104557300279,-0.669638945676638,305
2,1,264,128.456218222397,115.91807451817,-0.182168310472763,496
763,8,364,50.8035431835222,65.924198895398,-0.388956880179007,318
1011,8,164,120.307938225206,96.2548700066651,-0.510125740351809,85
949,7,246,119.816526406001,103.324730824716,-0.254368058553266,236
644,3,217,148.313856399192,120.486513768139,-0.329624407420743,317
1,1,181,152.069063257456,121.202310209006,-0.190923158322585,539
646,4,368,51.0392006206994,69.5701085237043,-0.321750554396642,303
876,6,270,126.150703525585,119.603511654132,-0.10050059905463,693
1004,7,363,59.0592922409336,86.6833317310773,0.197395559849881,918
1022,9,190,164.975755794602,,,1087
1015,9,300,90.8240056372763,92.655275079188,-0.318337598365104,168
706,4,145,156.041661103694,124.338248338956,-0.44926011261188,358
955,8,375,72.6704891960967,66.7308024828115,-0.517287380327621,154
468,5,258,148.660687473185,129.065874653217,-0.179160499210415,553
65,2,156,146.328397790723,113.507708989302,-0.249252141385214,523
640,2,224,134.536240470737,106.962610289764,-0.235908617068472,465
656,3,232,134.536240470737,112.178429299041,-0.197395559849881,441
679,6,350,47.4130783645188,65.8027355054484,-0.292912397525523,279
1015,9,363,91.0494371207203,100.900941521871,-0.343690606988605,121
947,7,352,64.007812023221,90.2496537389479,-0.2691674927857,277
2,1,338,63.285069329187,93.0483745156249,-0.0322468824352539,607
36,2,316,115.004347743901,129.340635532689,0.31441572261168,1095
696,5,265,125.960311209523,115.247559627091,-0.272340253988409,377
32,1,363,39.4588393138977,52.2398315464359,-0.0958591471100132,504
465,5,307,105.54619841567,118.827606220104,-0.118092028419094,561
1002,7,280,135.059246258818,138.755180083484,0.159224576101551,978
772,3,284,104,102.004901843,0.00980360747929598,746
778,4,205,150.850919785065,116.520384482716,0.094544871540141,810
80,2,176,141.428427128354,114.43775600736,-0.0874953408023913,543
951,8,223,156.371352875135,131.529464379659,-0.490851780398019,71
128,1,203,130.01538370516,106.004716876184,-0.00943368240600081,580
896,3,118,149.110697134713,,,921
1001,7,253,127.769323391806,109.89540481749,0.127740986121313,886
1004,7,337,49.7292670366254,70.8307842678591,0.2278570487171,918
947,7,386,60.9015599143405,164.538749235552,-0.392921089154033,147
658,4,362,44.7213595499958,61.6116872029975,-0.229231933276995,361
