PartitionKey,RowKey,Timestamp,beginingPinCount,endingPinCount,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,up
Lane 4,20181217430920,12/18/2018 3:51:31 AM,1023,654,725,5,"","","","","","","","",5
Lane 4,20181217431801,12/18/2018 3:52:05 AM,1023,697,403,377,"","","","","","","","",6
Lane 4,20181217451495,12/18/2018 3:49:06 AM,1023,24,618,248,633,93,"","","","","","",2
Lane 4,20181217453000,12/18/2018 3:53:50 AM,1023,876,778,407,769,269,759,132,752,26,"","",6
Lane 4,20181217467096,12/18/2018 3:53:59 AM,1023,877,776,299,763,148,753,30,"","","","",7
Lane 4,20181217473968,12/18/2018 3:53:54 AM,1023,877,782,401,765,205,"","","","","","",7
Lane 4,20181217484725,12/18/2018 3:52:15 AM,1023,72,620,338,625,163,649,30,"","","","",2
Lane 4,20181217489648,12/18/2018 3:54:48 AM,1023,947,178,367,243,169,300,21,"","","","",7
Lane 4,20181217490779,12/18/2018 3:47:03 AM,1023,1000,940,325,915,181,892,65,"","","","",6
Lane 4,20181217505422,12/18/2018 3:48:40 AM,1023,152,559,342,581,152,"","","","","","",3
Lane 4,20181217506549,12/18/2018 3:49:21 AM,1023,32,465,373,495,238,520,121,"","","","",1
Lane 4,20181217507696,12/18/2018 3:49:03 AM,1023,1,454,406,481,261,502,119,520,16,"","",1
Lane 4,20181217509388,12/18/2018 3:47:38 AM,1023,1015,40,347,107,188,168,64,"","","","",9
Lane 4,20181217516244,12/18/2018 3:53:03 AM,1023,797,773,400,752,205,755,57,"","","","",6
Lane 4,20181217537049,12/18/2018 3:50:52 AM,1023,551,848,341,836,189,837,77,"","","","",5
Lane 4,20181217543304,12/18/2018 3:46:29 AM,1023,0,491,377,521,234,545,105,"","","","",0
Lane 4,20181217550746,12/18/2018 3:53:08 AM,1023,800,874,420,850,261,833,108,"","","","",3
Lane 4,20181217563606,12/18/2018 3:48:36 AM,1023,152,570,147,587,10,"","","","","","",3
Lane 4,20181217595227,12/18/2018 3:46:01 AM,1023,0,479,389,506,231,536,117,"","","","",0
Lane 4,20181217598083,12/18/2018 3:45:56 AM,1023,0,529,313,553,151,581,26,"","","","",0
Lane 4,20181217599322,12/18/2018 3:52:50 AM,1023,772,834,274,821,118,803,7,"","","","",3
Lane 4,20181217605250,12/18/2018 3:46:43 AM,1023,0,524,339,"","","","","","","","",0
Lane 4,20181217636964,12/18/2018 3:50:43 AM,1023,529,363,421,417,321,446,183,476,80,"","",3
Lane 4,20181217655624,12/18/2018 3:51:01 AM,1023,559,852,278,837,122,832,10,"","","","",6
Lane 4,20181217659914,12/18/2018 3:50:38 AM,1023,514,377,365,411,191,442,62,"","","","",2
Lane 4,20181217661512,12/18/2018 3:53:11 AM,1023,802,886,337,856,161,833,26,"","","","",4
Lane 4,20181217678486,12/18/2018 3:51:36 AM,1023,656,341,402,389,206,427,51,"","","","",3
Lane 4,20181217682933,12/18/2018 3:48:32 AM,1023,151,554,299,570,133,"","","","","","",5
Lane 4,20181217683004,12/18/2018 3:53:27 AM,1023,832,807,403,796,269,785,138,775,32,"","",3
Lane 4,20181217700734,12/18/2018 3:54:30 AM,1023,912,231,271,286,122,332,9,"","","","",4
Lane 4,20181217702507,12/18/2018 3:55:18 AM,1023,959,259,345,306,185,343,58,"","","","",9
Lane 4,20181217710081,12/18/2018 3:47:08 AM,1023,1001,893,281,871,123,858,12,"","","","",7
Lane 4,20181217717656,12/18/2018 3:47:52 AM,1023,1022,1114,351,1071,200,1030,81,"","","","",9
Lane 4,20181217729475,12/18/2018 3:46:10 AM,1023,0,499,320,521,148,"","","","","","",0
Lane 4,20181217730418,12/18/2018 3:53:42 AM,1023,842,796,342,788,171,782,40,"","","","",5
Lane 4,20181217764187,12/18/2018 3:48:54 AM,1023,1,527,301,543,160,557,47,"","","","",1
Lane 4,20181217765423,12/18/2018 3:50:13 AM,1023,44,707,410,703,198,"","","","","","",3
Lane 4,20181217767518,12/18/2018 3:51:49 AM,1023,676,221,420,294,260,347,109,"","","","",4
Lane 4,20181217769016,12/18/2018 3:51:21 AM,1023,644,301,391,355,186,399,32,900,5,"","",3
Lane 4,20181217785955,12/18/2018 3:52:09 AM,1023,72,658,329,662,174,662,53,"","","","",2
Lane 4,20181217786653,12/18/2018 3:49:12 AM,1023,251,413,422,453,291,477,143,500,27,"","",7
Lane 4,20181217788367,12/18/2018 3:54:53 AM,1023,947,239,401,288,264,327,133,360,28,"","",7
Lane 4,20181217814506,12/18/2018 3:48:59 AM,1023,1,491,407,522,231,550,85,"","","","",1
Lane 4,20181217835082,12/18/2018 3:48:27 AM,1023,136,678,378,682,198,686,63,"","","","",2
Lane 4,20181217837142,12/18/2018 3:52:46 AM,1023,770,846,395,828,245,813,113,798,16,"","",3
Lane 4,20181217838894,12/18/2018 3:47:25 AM,1023,1007,901,294,877,126,860,10,"","","","",9
Lane 4,20181217841404,12/18/2018 3:46:22 AM,1023,0,629,403,636,252,643,112,648,13,"","",0
Lane 4,20181217862470,12/18/2018 3:51:25 AM,1023,648,423,371,456,170,"","","","","","",3
Lane 4,20181217870470,12/18/2018 3:54:04 AM,1023,893,758,392,749,242,742,110,738,15,"","",8
Lane 4,20181217882067,12/18/2018 3:49:52 AM,1023,3,460,331,486,173,506,49,"","","","",2
Lane 4,20181217898351,12/18/2018 3:49:43 AM,1023,35,468,290,"","","","","","","","",3
Lane 4,20181217908013,12/18/2018 3:46:52 AM,1023,0,542,270,557,111,"","","","","","",0
Lane 4,20181217908920,12/18/2018 3:49:34 AM,1023,32,633,306,639,164,645,51,"","","","",1
Lane 4,20181217913643,12/18/2018 3:49:47 AM,1023,3,482,203,500,81,516,3,"","","","",2
Lane 4,20181217945783,12/18/2018 3:55:23 AM,1023,970,999,267,969,116,"","","","","","",6
Lane 4,20181217951336,12/18/2018 3:49:26 AM,1023,32,641,285,649,135,654,21,"","","","",1
Lane 4,20181217958582,12/18/2018 3:51:56 AM,1023,691,384,392,416,227,443,88,"","","","",6
Lane 4,20181217970368,12/18/2018 3:49:30 AM,1023,32,650,27,1060,21,1153,21,1142,10,"","",1
Lane 4,20181217987368,12/18/2018 3:50:22 AM,1023,466,512,418,539,295,560,156,"","","","",5
Lane 4,20181217987454,12/18/2018 3:49:55 AM,1023,401,578,276,592,118,"","","","","","",4
Lane 4,20181218015996,12/19/2018 3:46:17 AM,1023,1000,907,417,896,334,884,217,874,118,866,37,6
Lane 4,20181218017699,12/19/2018 3:45:54 AM,1023,0,431,393,462,273,488,150,510,50,"","",0
Lane 4,20181218040541,12/19/2018 3:50:49 AM,1023,832,801,411,789,294,786,164,783,69,"","",3
Lane 4,20181218048612,12/19/2018 3:53:26 AM,1023,959,246,350,292,192,331,78,"","","","",9
Lane 4,20181218066681,12/19/2018 3:47:00 AM,1023,1015,38,362,63,283,100,209,132,141,162,85,9
Lane 4,20181218076333,12/19/2018 3:49:05 AM,1023,40,664,408,670,286,678,163,692,67,"","",2
Lane 4,20181218099104,12/19/2018 3:49:19 AM,1023,644,300,308,337,195,369,107,395,29,"","",3
Lane 4,20181218101768,12/19/2018 3:51:01 AM,1023,836,778,386,775,282,770,173,766,81,764,19,4
Lane 4,20181218106958,12/19/2018 3:52:49 AM,1023,949,120,387,169,265,211,152,247,60,278,3,7
Lane 4,20181218122015,12/19/2018 3:51:33 AM,1023,876,731,345,732,215,731,108,732,26,"","",6
Lane 4,20181218122335,12/19/2018 3:47:43 AM,1023,104,663,386,665,329,665,248,666,177,666,113,3
Lane 4,20181218137424,12/19/2018 3:49:57 AM,1023,678,219,389,263,288,303,183,335,95,368,26,5
Lane 4,20181218142559,12/19/2018 3:47:58 AM,1023,16,589,376,600,220,610,96,611,7,"","",1
Lane 4,20181218149795,12/19/2018 3:50:36 AM,1023,806,846,363,842,235,825,127,833,40,"","",5
Lane 4,20181218158949,12/19/2018 3:46:39 AM,1023,1006,944,396,932,344,918,262,907,188,895,124,8
Lane 4,20181218163372,12/19/2018 3:48:26 AM,1023,297,625,410,640,316,648,197,655,98,663,24,4
